user_idx,window_number,method,family,historical_weight,shift_signal,historical_loss,online_loss,method_loss,historical_coverage,online_coverage,expected_coverage
801,6,PredictionOnly,prediction,1.0,0.4869075403729395,0.976,0.708,0.976,0.024,0.292,0.02400000000000002
801,6,OnlineOnly,online,0.0,0.4869075403729395,0.976,0.708,0.708,0.024,0.292,0.29200000000000004
801,6,StaticMixture,static,0.25,0.4869075403729395,0.976,0.708,0.7749999999999999,0.024,0.292,0.2250000000000001
801,6,Hedge,hedge,0.2550229255729503,0.4869075403729395,0.976,0.708,0.7763461440535506,0.024,0.292,0.22365385594644938
801,6,ShiftAwareAdaptiveTrust,shift,0.4850123870129871,0.4869075403729395,0.976,0.708,0.8379833197194806,0.024,0.292,0.1620166802805194
802,1,PredictionOnly,prediction,1.0,0.0,0.916,0.96,0.916,0.084,0.04,0.08399999999999996
802,1,OnlineOnly,online,0.0,0.0,0.916,0.96,0.96,0.084,0.04,0.040000000000000036
802,1,StaticMixture,static,0.25,0.0,0.916,0.96,0.949,0.084,0.04,0.051000000000000045
802,1,Hedge,hedge,0.5,0.0,0.916,0.96,0.938,0.084,0.04,0.062000000000000055
802,1,ShiftAwareAdaptiveTrust,shift,0.75,0.0,0.916,0.96,0.927,0.084,0.04,0.07299999999999995
802,2,PredictionOnly,prediction,1.0,0.6137842392468178,0.956,0.504,0.956,0.044,0.496,0.04400000000000004
802,2,OnlineOnly,online,0.0,0.6137842392468178,0.956,0.504,0.504,0.044,0.496,0.496
802,2,StaticMixture,static,0.25,0.6137842392468178,0.956,0.504,0.617,0.044,0.496,0.383
802,2,Hedge,hedge,0.5219858136524729,0.6137842392468178,0.956,0.504,0.7399375877709177,0.044,0.496,0.26006241222908233
802,2,ShiftAwareAdaptiveTrust,shift,0.4732864138103594,0.6137842392468178,0.956,0.504,0.7179254590422824,0.044,0.496,0.28207454095771756
802,3,PredictionOnly,prediction,1.0,0.5115057105239231,0.952,0.46399999999999997,0.952,0.048,0.536,0.04800000000000004
802,3,OnlineOnly,online,0.0,0.5115057105239231,0.952,0.46399999999999997,0.46399999999999997,0.048,0.536,0.536
