user_idx,n_windows,spearman_rho,spearman_p_value
440,12,0.01751316170845866,0.9569188239005485
444,44,-0.6320579844495158,4.187934388472486e-06
446,9,0.41666666666666663,0.26458604674749636
447,6,-0.6761234037828133,0.14035738661899447
449,4,-0.39999999999999997,0.6000000000000001
452,8,-0.26347777762091695,0.528366470576909
453,5,0.0,1.0
454,6,,
455,10,-0.31890575373516844,0.36911643779794007
460,7,-0.6785714285714287,0.09375025395983135
461,5,-0.19999999999999998,0.7470600781046621
463,5,0.8720815992723809,0.05385421772754213
464,18,-0.21820108717206707,0.38438846976869145
466,18,-0.1847265221878225,0.46306133291799106
467,11,-0.6394292602546267,0.03414024616515961
468,4,-0.7999999999999999,0.2000000000000001
472,9,0.06694619270045785,0.8641266713551773
475,6,-0.08571428571428573,0.8717434402332361
476,16,-0.04129811478408917,0.8793005034426649
479,14,-0.3362637362637363,0.23979220225725295
482,20,0.39729130885631264,0.08281860200178442
483,3,-1.0,0.0
484,10,0.024390697332764166,0.9466770792643008
485,4,-0.7999999999999999,0.2000000000000001
486,18,-0.29913394407946536,0.2278712957857839
488,6,-0.753702346348183,0.08352328137325983
490,11,-0.5339390499775317,0.09068634598694542
492,16,-0.6794416014187427,0.0037913018976934347
494,8,-0.07229440390678199,0.8649195587700265
495,17,-0.17662364086318483,0.4976890351171452
497,14,-0.5102706755235296,0.06228050334045226
498,21,-0.18626081378424791,0.4188605404270597
500,11,0.004555820475782052,0.9893933525406057
501,12,-0.7070175191867238,0.010133295932043545
505,20,0.2940304456988051,0.20827737670742807
506,3,,
507,5,-0.41039134083406165,0.49253578170279755
508,10,-0.6860877352014098,0.028478907054555466
512,43,-0.016237444718552395,0.9176889811247884
515,13,-0.5623904919793126,0.045427365959503314
516,7,0.5714285714285715,0.18020198891152767
517,9,-0.8954053273686237,0.001098525873588266
518,24,-0.27501433883388093,0.19338984476546092
521,7,0.9449111825230683,0.0013279254349912676
524,36,-0.018932324924924176,0.9127308155557095
525,60,-0.7219866420578287,7.51924132338751e-11
530,4,-0.632455532033676,0.367544467966324
531,5,-0.5270462766947299,0.3614548502018726
533,11,-0.01822328190312821,0.9575888166970637
534,7,-0.01801874925391118,0.9694153868031988
535,10,-0.830867564110496,0.002903391902151365
538,5,-0.7,0.1881204043741873
539,4,0.2581988897471611,0.741801110252839
544,11,-0.02727272727272728,0.9365584481926121
545,16,-0.11331864730826258,0.6760521143157764
547,14,0.252262938552619,0.38425806749893804
548,17,-0.8308823529411766,3.611059946133302e-05
549,19,-0.04252817095352017,0.8627548558479471
550,6,-0.6546536707079772,0.15830242337545788
551,5,-0.09999999999999999,0.8728885715695384
552,7,-0.42857142857142866,0.3373683110858243
553,3,1.0,0.0
554,7,-0.25,0.5887244480896832
555,3,-1.0,0.0
556,31,-0.01949487146728815,0.917096294643263
558,3,0.8660254037844387,0.33333333333333326
559,4,0.6000000000000001,0.4
560,11,-0.11726039399558574,0.7313277836814367
563,5,0.9999999999999999,1.4042654220543602e-24
567,6,-0.48571428571428577,0.3287230320699708
568,3,0.5,0.6666666666666666
569,3,-0.5,0.6666666666666666
570,4,-0.7745966692414834,0.22540333075851665
572,21,-0.09088586494780472,0.6952053696718392
573,17,0.24019607843137256,0.3530886590520007
574,7,0.592999453328881,0.16052191228369242
575,5,-0.7,0.1881204043741873
579,11,-0.20909090909090913,0.5372209352113227
580,6,-0.101418510567422,0.8483938150603566
582,21,0.048717118516138976,0.833899077685062
583,12,-0.2027972027972028,0.5273023541661079
586,5,-0.7826237921249264,0.11761376087345812
588,3,-1.0,0.0
589,28,-0.10236759367794748,0.6042160290612777
590,12,-0.4516120205450996,0.14053752579384457
591,32,-0.5225692833459762,0.002153088899076332
593,4,-0.7999999999999999,0.2000000000000001
594,5,-0.8999999999999998,0.03738607346849874
595,7,-0.8910563851303024,0.007089720823959083
596,13,-0.28925729594155203,0.3377834739410966
598,9,-0.7166666666666667,0.02981803569584528
603,13,-0.4132247084879315,0.1604815255045643
605,7,-0.8571428571428573,0.013697326615325618
606,8,-0.09523809523809526,0.8225054302036114
607,7,-0.8571428571428573,0.013697326615325618
608,24,0.04518393411049245,0.8339447120691618
610,13,0.46113957739573935,0.11272747076155827
611,3,-0.5,0.6666666666666666
612,5,-0.6708203932499368,0.21516994256955022
614,3,1.0,0.0
619,7,-0.4504687313477795,0.310429301851323
622,3,-0.5,0.6666666666666666
625,11,-0.2069102204422663,0.5415699136669009
626,11,0.1818779805969137,0.5924914475197227
628,6,-0.028571428571428574,0.9571545189504373
629,22,-0.0531223700332099,0.8143740450357727
630,3,0.5,0.6666666666666666
631,7,-0.7857142857142859,0.03623846267982715
632,27,-0.1280055614365862,0.5245880489114952
633,3,,
634,7,-0.0181848241863327,0.9691335878067214
636,4,-0.39999999999999997,0.6000000000000001
639,10,-0.3474756221281581,0.3252140444837802
640,4,-0.39999999999999997,0.6000000000000001
642,6,0.08571428571428573,0.8717434402332361
643,4,0.19999999999999998,0.8
644,7,-0.9145291883606756,0.003915772683910753
647,7,-0.10714285714285716,0.8191508555699912
648,9,0.17487435419566724,0.6527031843903707
649,8,-0.5923057020691221,0.12183451362769833
652,30,0.013243262668623336,0.9446258230436666
653,4,-0.9486832980505139,0.05131670194948613
654,7,0.12613124477737828,0.7875721594074738
656,23,-0.6069961572045203,0.0021314660252562826
657,18,0.10694389577366196,0.6727578904599085
659,3,-0.5,0.6666666666666666
660,26,-0.2155128601439019,0.29035307567167196
661,31,-0.1495389493964643,0.4220253698179481
662,5,0.15389675281277312,0.8048288166080632
664,11,0.11872269889407801,0.7280862602638447
665,7,0.7500000000000002,0.0521814004570578
666,50,-0.38377959184083843,0.005935616249862995
667,29,-0.5463572794568672,0.0021671412609905326
670,6,-0.5217939320872036,0.2883432338003935
672,4,-1.0,0.0
674,6,-0.08827348295047495,0.8679336982351337
675,8,,
676,12,-0.7614081958174166,0.004013748722895185
677,34,0.14348750433387092,0.4181840709065628
678,14,0.14790431126346332,0.6138388455130065
679,6,-0.6473388749701496,0.16462459468137824
680,7,-0.2702812388086677,0.5577307488053694
