user_idx,method,family,n_windows,total_loss,mean_loss,expected_coverage,historical_total_loss,online_total_loss,best_fixed_expert_loss,regret_to_best_fixed_expert
622,PredictionOnly,prediction,6,5.516,0.9193333333333333,0.08066666666666666,5.516,3.472,3.472,2.044
622,OnlineOnly,online,6,3.472,0.5786666666666667,0.42133333333333334,5.516,3.472,3.472,0.0
622,StaticMixture,static,6,3.9830000000000005,0.6638333333333334,0.3361666666666666,5.516,3.472,3.472,0.5110000000000006
622,Hedge,hedge,6,3.948102590403519,0.6580170984005865,0.34198290159941347,5.516,3.472,3.472,0.476102590403519
622,ShiftAwareAdaptiveTrust,shift,6,4.526855341893154,0.7544758903155256,0.24552410968447436,5.516,3.472,3.472,1.054855341893154
625,PredictionOnly,prediction,23,22.516,0.9789565217391304,0.021043478260869608,22.516,14.959999999999999,14.959999999999999,7.555999999999999
625,OnlineOnly,online,23,14.959999999999999,0.6504347826086956,0.3495652173913044,22.516,14.959999999999999,14.959999999999999,0.0
625,StaticMixture,static,23,16.849,0.7325652173913043,0.2674347826086957,22.516,14.959999999999999,14.959999999999999,1.8890000000000011
625,Hedge,hedge,23,15.411911222233623,0.6700830966188532,0.32991690338114676,22.516,14.959999999999999,14.959999999999999,0.45191122223362434
625,ShiftAwareAdaptiveTrust,shift,23,18.245293919976312,0.7932736486946222,0.20672635130537775,22.516,14.959999999999999,14.959999999999999,3.285293919976313
626,PredictionOnly,prediction,22,21.644000000000002,0.9838181818181819,0.016181818181818075,21.644000000000002,13.708,13.708,7.936000000000002
626,OnlineOnly,online,22,13.708,0.6230909090909091,0.37690909090909086,21.644000000000002,13.708,13.708,0.0
626,StaticMixture,static,22,15.692,0.7132727272727273,0.2867272727272727,21.644000000000002,13.708,13.708,1.984
626,Hedge,hedge,22,14.184317639055534,0.6447417108661606,0.3552582891338394,21.644000000000002,13.708,13.708,0.4763176390555337
626,ShiftAwareAdaptiveTrust,shift,22,17.16427665044917,0.780194393202235,0.21980560679776495,21.644000000000002,13.708,13.708,3.456276650449171
628,PredictionOnly,prediction,12,9.156,0.763,0.237,9.156,7.484000000000001,7.484000000000001,1.6719999999999997
628,OnlineOnly,online,12,7.484000000000001,0.6236666666666667,0.3763333333333333,9.156,7.484000000000001,7.484000000000001,0.0
628,StaticMixture,static,12,7.901999999999999,0.6585,0.3415,9.156,7.484000000000001,7.484000000000001,0.4179999999999984
628,Hedge,hedge,12,7.890321436020178,0.6575267863350148,0.3424732136649852,9.156,7.484000000000001,7.484000000000001,0.40632143602017745
628,ShiftAwareAdaptiveTrust,shift,12,8.473252782400031,0.706104398533336,0.29389560146666405,9.156,7.484000000000001,7.484000000000001,0.9892527824000306
629,PredictionOnly,prediction,44,43.21638727213789,0.9821906198213156,0.017809380178684386,43.21638727213789,39.017616051522836,39.017616051522836,4.1987712206150505
629,OnlineOnly,online,44,39.017616051522836,0.8867640011709735,0.11323599882902646,43.21638727213789,39.017616051522836,39.017616051522836,0.0
629,StaticMixture,static,44,40.06730885667658,0.9106206558335587,0.08937934416644133,43.21638727213789,39.017616051522836,39.017616051522836,1.0496928051537466
629,Hedge,hedge,44,39.39010556359165,0.8952296718998103,0.10477032810018971,43.21638727213789,39.017616051522836,39.017616051522836,0.3724895120688174
629,ShiftAwareAdaptiveTrust,shift,44,41.617519579596504,0.9458527177181023,0.05414728228189769,43.21638727213789,39.017616051522836,39.017616051522836,2.5999035280736678
630,PredictionOnly,prediction,6,5.819229826428389,0.9698716377380648,0.03012836226193516,5.819229826428389,4.700342886499579,4.700342886499579,1.1188869399288102
630,OnlineOnly,online,6,4.700342886499579,0.7833904810832631,0.21660951891673685,5.819229826428389,4.700342886499579,4.700342886499579,0.0
630,StaticMixture,static,6,4.980064621481781,0.8300107702469636,0.16998922975303643,5.819229826428389,4.700342886499579,4.700342886499579,0.27972173498220254
630,Hedge,hedge,6,5.067998831150159,0.8446664718583597,0.15533352814164025,5.819229826428389,4.700342886499579,4.700342886499579,0.36765594465058005
630,ShiftAwareAdaptiveTrust,shift,6,5.134108543202574,0.855684757200429,0.14431524279957098,5.819229826428389,4.700342886499579,4.700342886499579,0.4337656567029953
631,PredictionOnly,prediction,14,8.284587920874477,0.5917562800624626,0.4082437199375374,8.284587920874477,4.896994788817534,4.896994788817534,3.387593132056943
631,OnlineOnly,online,14,4.896994788817534,0.3497853420583953,0.6502146579416047,8.284587920874477,4.896994788817534,4.896994788817534,0.0
631,StaticMixture,static,14,5.74389307183177,0.4102780765594121,0.5897219234405879,8.284587920874477,4.896994788817534,4.896994788817534,0.8468982830142355
631,Hedge,hedge,14,5.322410081143577,0.3801721486531126,0.6198278513468873,8.284587920874477,4.896994788817534,4.896994788817534,0.4254152923260426
631,ShiftAwareAdaptiveTrust,shift,14,6.431135214103202,0.4593668010073716,0.5406331989926284,8.284587920874477,4.896994788817534,4.896994788817534,1.5341404252856679
632,PredictionOnly,prediction,55,49.228,0.8950545454545454,0.10494545454545456,49.228,27.623999999999995,27.623999999999995,21.604000000000006
632,OnlineOnly,online,55,27.623999999999995,0.5022545454545454,0.4977454545454546,49.228,27.623999999999995,27.623999999999995,0.0
632,StaticMixture,static,55,33.02499999999999,0.6004545454545454,0.39954545454545465,49.228,27.623999999999995,27.623999999999995,5.400999999999996
632,Hedge,hedge,55,28.072374671806955,0.5104068122146719,0.4895931877853281,49.228,27.623999999999995,27.623999999999995,0.44837467180695967
632,ShiftAwareAdaptiveTrust,shift,55,38.597097891027026,0.7017654162004914,0.2982345837995086,49.228,27.623999999999995,27.623999999999995,10.973097891027031
633,PredictionOnly,prediction,7,6.992,0.9988571428571429,0.0011428571428571122,6.992,5.878730923694779,5.878730923694779,1.1132690763052207
